,Label (Grouping)_x,Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_numb,Label (Grouping)_y,Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),tract,LOGRECNO,GEOID,geoid,typo,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             ,label 
1277,"Census Tract 172, New York County, New York!!Estimate",264,912,31.4,"39,295","54,732","2,470",0,7.4,3.2,"1,022,700",-,"1,271","1,057","5,627","2,300","1,736",(X),"5,644",107.8055965,32.9,"Census Tract 172, New York County, New York","Census Tract 172, New York County, New York!!Percent",17.30%,0.00%,6.50%,3.50%,0.00%,8.90%,0.80%,3.10%,9.90%,10.10%,29.20%,15.70%,6.10%,6.10%,12.90%,84.80%,44.80%,0.00%,0.00%,95.10%,5.80%,27.40%,84.60%,0.60%,0.00%,5.20%,6.50%,9.80%,9.60%,65.70%,53.30%,18.80%,15.90%,31.30%,12.20%,13.20%,32.60%,26.90%,0.00%,3.60%,63.50%,172,5958,14000US36061017200,36061017200,LI - At Risk of Gentrification,NY,177939,0,0.069,0,40.793827,-73.9451333,1
1278,"Census Tract 173, New York County, New York!!Estimate",624,434,36.3,"125,108","187,032","5,049",0,0.9,3.4,"1,045,800","4,000+","1,500+","1,760","8,470","2,170","1,904",(X),"8,491",86.41053787,40.7,"Census Tract 173, New York County, New York","Census Tract 173, New York County, New York!!Percent",3.30%,0.00%,2.90%,4.90%,1.10%,3.00%,0.00%,8.70%,23.90%,27.70%,18.40%,4.40%,3.30%,1.60%,3.60%,96.50%,83.30%,0.00%,0.00%,72.00%,4.10%,38.40%,71.80%,1.90%,0.00%,0.80%,0.00%,51.40%,17.30%,28.70%,42.00%,5.90%,5.00%,75.20%,30.00%,18.70%,73.50%,4.80%,0.00%,10.60%,15.20%,173,5959,14000US36061017300,36061017300,MHI - Stable Exclusion,NY,178602,0,0.069,0,40.7877705,-73.9712361,0
1279,"Census Tract 174.01, New York County, New York!!Estimate",140,"1,020",33.9,"20,288","52,643","2,271",11,3.8,3.7,"783,700","3,174",931,855,"4,378","1,145",790,(X),"4,508",74.5933385,41.4,"Census Tract 174.01, New York County, New York","Census Tract 174.01, New York County, New York!!Percent",16.00%,0.00%,0.10%,0.60%,3.70%,5.30%,5.90%,5.80%,6.00%,14.10%,35.70%,7.60%,11.80%,3.40%,25.10%,89.00%,37.20%,0.00%,0.50%,86.50%,0.70%,28.20%,87.00%,0.00%,0.00%,1.40%,0.00%,52.70%,16.30%,67.00%,52.60%,7.70%,16.00%,38.30%,14.00%,18.90%,23.90%,45.60%,0.00%,3.80%,41.80%,174.01,5960,14000US36061017401,36061017401,LI - At Risk of Gentrification,NY,100812,0,0.039,0,40.7948875,-73.948576,1
1280,"Census Tract 174.02, New York County, New York!!Estimate",110,233,32.9,"31,705","49,882",964,0,0,3.7,"562,500","1,618",-,"1,422","2,340",651,535,(X),"2,340",78.08219178,32.7,"Census Tract 174.02, New York County, New York","Census Tract 174.02, New York County, New York!!Percent",13.90%,0.00%,7.00%,1.20%,0.60%,12.00%,8.00%,1.80%,6.80%,10.50%,31.60%,8.60%,7.40%,4.50%,20.90%,85.90%,50.30%,0.00%,5.40%,95.20%,3.50%,26.40%,82.50%,0.00%,0.50%,5.60%,1.90%,100.00%,13.90%,72.50%,54.10%,4.90%,11.00%,34.70%,18.20%,17.20%,31.70%,42.60%,0.30%,7.10%,35.60%,174.02,5961,14000US36061017402,36061017402,LI - Not Losing Low-Income Households,NY,50730,0,0.02,0,40.7968026,-73.9471624,0
1281,"Census Tract 175, New York County, New York!!Estimate",607,"1,273",28.7,"131,770","211,717","5,937",4.4,7.5,3.7,"1,084,300","3,329","1,141","2,079","9,689","1,501","1,387",(X),"10,263",86.93989071,44.9,"Census Tract 175, New York County, New York","Census Tract 175, New York County, New York!!Percent",2.40%,0.00%,2.10%,1.30%,1.20%,5.70%,1.00%,11.60%,17.10%,17.80%,25.60%,12.50%,1.60%,2.60%,1.50%,91.00%,82.60%,0.00%,0.00%,51.20%,2.20%,35.20%,66.50%,2.20%,0.50%,1.30%,2.40%,62.70%,20.80%,31.10%,33.00%,0.30%,0.90%,82.30%,40.70%,25.10%,89.70%,3.90%,0.00%,4.20%,7.40%,175,5962,14000US36061017500,36061017500,MHI - Stable Exclusion,NY,216905,192184,0.084,0.074,40.7915227,-73.9798883,0
1282,"Census Tract 177, New York County, New York!!Estimate",470,"1,038",33,"79,926","151,432","5,081",0,1.8,3.6,"945,600","1,895",603,"1,087","9,464","2,418","1,847",(X),"9,476",65.43296089,43.7,"Census Tract 177, New York County, New York","Census Tract 177, New York County, New York!!Percent",4.40%,0.00%,0.00%,1.90%,1.20%,3.40%,2.20%,6.80%,12.90%,21.40%,29.20%,7.90%,5.90%,7.10%,8.20%,95.90%,80.40%,0.00%,0.00%,67.50%,1.30%,27.90%,72.70%,0.90%,0.40%,2.00%,0.50%,48.00%,20.70%,48.30%,44.50%,5.50%,2.60%,62.10%,21.00%,23.90%,59.60%,14.90%,0.00%,8.40%,28.90%,177,5963,14000US36061017700,36061017700,MHI - Ongoing Exclusion,NY,174561,0,0.067,0,40.7903083,-73.9693891,0
1283,"Census Tract 178, New York County, New York!!Estimate",226,504,39.8,"42,105","57,043","1,860",0,8.7,3.2,"849,000","2,961",-,"1,116","3,715","1,186",855,(X),"3,728",81.05876639,32,"Census Tract 178, New York County, New York","Census Tract 178, New York County, New York!!Percent",6.00%,0.00%,4.00%,1.00%,2.00%,12.60%,2.90%,4.70%,5.60%,6.30%,32.50%,18.90%,4.90%,4.70%,8.10%,80.00%,49.70%,0.00%,0.80%,95.50%,0.60%,43.40%,82.50%,3.40%,0.00%,6.90%,5.60%,77.00%,7.80%,60.10%,62.30%,9.70%,9.50%,38.40%,18.80%,9.40%,35.70%,20.30%,0.00%,9.60%,51.50%,178,5964,14000US36061017800,36061017800,LI - Ongoing Gentrification,NY,248851,209809,0.096,0.081,40.7935107,-73.9326073,1
1284,"Census Tract 179, New York County, New York!!Estimate",580,929,31.7,"81,474","155,511","5,209",0,9.1,3.7,"933,800","3,174","1,218","1,527","9,516","2,964","2,679",(X),"9,521",87.56895193,42.7,"Census Tract 179, New York County, New York","Census Tract 179, New York County, New York!!Percent",7.90%,0.00%,0.40%,0.30%,2.70%,6.10%,1.30%,5.80%,15.10%,23.60%,27.50%,11.40%,4.40%,1.30%,9.50%,93.30%,75.00%,0.00%,0.00%,73.90%,7.10%,30.50%,72.80%,4.50%,0.00%,0.00%,3.40%,39.00%,17.20%,45.30%,46.40%,3.60%,4.70%,70.40%,28.90%,20.30%,76.40%,2.30%,6.60%,5.80%,24.10%,179,5965,14000US36061017900,36061017900,MHI - Ongoing Exclusion,NY,213916,191036,0.083,0.074,40.7944258,-73.9789459,0
1285,"Census Tract 180, New York County, New York!!Estimate",526,"1,345",35.8,"33,090","53,185","3,056",0,1.3,3.8,"598,800","3,500","1,500+",815,"8,272","2,772","1,989",(X),"8,306",85.52602189,30.7,"Census Tract 180, New York County, New York","Census Tract 180, New York County, New York!!Percent",10.20%,0.60%,3.50%,3.10%,1.70%,17.90%,5.80%,6.40%,4.60%,5.90%,28.20%,17.20%,4.70%,0.30%,19.70%,85.90%,43.00%,0.50%,4.50%,94.20%,6.20%,29.80%,81.90%,0.80%,1.40%,7.30%,5.10%,72.20%,8.10%,64.90%,61.40%,10.40%,16.20%,26.20%,8.30%,10.50%,25.10%,25.90%,0.60%,6.40%,61.90%,180,5966,14000US36061018000,36061018000,LI - Ongoing Gentrification,NY,212522,0,0.082,0,40.7944017,-73.939595,1
1286,"Census Tract 181, New York County, New York!!Estimate",583,963,31.8,"73,194","148,766","4,694",0,2.2,3.6,"1,122,800","2,731",-,"1,167","9,127","2,231","1,682",(X),"9,135",83.21299639,46.2,"Census Tract 181, New York County, New York","Census Tract 181, New York County, New York!!Percent",11.90%,0.00%,1.00%,1.30%,0.60%,5.00%,1.40%,7.20%,15.10%,23.10%,24.10%,12.90%,4.80%,3.50%,11.10%,95.40%,75.00%,0.00%,0.00%,78.20%,3.60%,28.70%,75.40%,1.50%,0.00%,3.80%,0.00%,61.40%,24.90%,39.60%,38.40%,2.10%,2.50%,69.80%,28.80%,31.30%,68.70%,18.60%,0.00%,7.80%,15.30%,181,5967,14000US36061018100,36061018100,MHI - Stable Exclusion,NY,138455,0,0.053,0,40.7925562,-73.967746,0
1287,"Census Tract 182, New York County, New York!!Estimate",341,"1,235",34.4,"19,333","32,509","2,888",0,1.4,3.8,-,-,-,566,"7,195","1,935","1,287",(X),"7,218",76.26373626,31.2,"Census Tract 182, New York County, New York","Census Tract 182, New York County, New York!!Percent",8.60%,0.00%,1.90%,1.30%,1.50%,10.50%,6.60%,2.20%,5.50%,13.50%,32.40%,11.90%,11.90%,0.90%,30.40%,87.80%,29.50%,0.00%,0.60%,97.00%,5.40%,25.10%,87.40%,0.00%,0.00%,6.30%,2.30%,88.00%,13.70%,68.80%,59.30%,12.90%,12.40%,23.70%,11.70%,14.40%,19.60%,27.80%,0.00%,6.50%,56.70%,182,5968,14000US36061018200,36061018200,LI - At Risk of Gentrification,NY,176899,0,0.068,0,40.7983211,-73.9418511,1
1288,"Census Tract 183, New York County, New York!!Estimate",396,598,30.6,"121,344","168,506","5,173",0,10.4,3.4,"937,500","3,365","1,084","1,998","7,377","1,729","1,561",(X),"7,582",84.3423292,43.3,"Census Tract 183, New York County, New York","Census Tract 183, New York County, New York!!Percent",2.30%,0.80%,1.40%,0.50%,2.30%,2.90%,0.70%,6.60%,11.50%,24.30%,27.10%,13.40%,4.60%,3.90%,3.10%,95.50%,86.90%,0.00%,0.00%,67.60%,6.80%,35.80%,73.20%,1.50%,0.00%,0.00%,1.40%,67.30%,19.10%,41.50%,36.70%,0.60%,2.50%,83.80%,31.40%,24.90%,81.70%,4.00%,0.50%,7.40%,15.80%,183,5969,14000US36061018300,36061018300,MHI - Stable Exclusion,NY,224312,187898,0.087,0.073,40.7967863,-73.9769266,0
1289,"Census Tract 184, New York County, New York!!Estimate",356,"1,000",35.5,"25,231","42,102","3,308",19,2.4,3.8,"515,600","2,554",-,634,"7,286","2,128","1,266",(X),"7,286",87.83191544,36.9,"Census Tract 184, New York County, New York","Census Tract 184, New York County, New York!!Percent",10.70%,0.00%,0.50%,3.30%,1.00%,11.50%,5.60%,2.50%,10.10%,6.80%,23.20%,27.10%,3.40%,5.10%,19.90%,93.00%,40.40%,0.00%,0.90%,90.50%,2.70%,22.70%,82.60%,0.40%,0.00%,3.60%,4.00%,85.10%,13.50%,66.10%,47.40%,10.60%,16.00%,27.30%,12.00%,17.20%,18.10%,49.60%,0.20%,8.00%,45.30%,184,5970,14000US36061018400,36061018400,LI - At Risk of Gentrification,NY,176580,0,0.068,0,40.7996841,-73.9450687,1
1290,"Census Tract 185, New York County, New York!!Estimate",312,435,35.9,"113,018","136,770","3,281",0,3.3,2.9,"875,000","2,333","1,134","2,010","5,251","1,883","1,724",(X),"5,259",81.78361562,41.2,"Census Tract 185, New York County, New York","Census Tract 185, New York County, New York!!Percent",5.80%,0.00%,0.60%,2.40%,2.50%,5.60%,0.60%,9.10%,13.20%,26.50%,27.80%,5.20%,1.30%,5.30%,8.70%,97.20%,87.00%,0.00%,7.70%,74.10%,6.60%,33.90%,72.90%,1.60%,0.00%,3.80%,3.60%,51.80%,22.10%,41.60%,40.90%,0.50%,2.20%,82.80%,21.20%,27.20%,65.50%,13.80%,0.20%,15.70%,7.90%,185,5971,14000US36061018500,36061018500,MHI - Stable Exclusion,NY,130383,0,0.05,0,40.7945001,-73.9663636,0
1291,"Census Tract 186, New York County, New York!!Estimate","1,160",841,33.1,"30,340","46,594","2,114",0,3.4,4.1,-,-,-,570,"7,078","1,586","1,238",(X),"7,774",73.1403118,29.5,"Census Tract 186, New York County, New York","Census Tract 186, New York County, New York!!Percent",10.00%,0.00%,1.40%,2.20%,1.30%,14.80%,5.50%,2.70%,1.80%,14.40%,33.90%,13.00%,6.80%,2.20%,24.30%,88.60%,28.50%,0.00%,0.00%,98.90%,3.90%,15.50%,89.20%,1.10%,0.70%,7.40%,6.00%,100.00%,7.40%,71.10%,56.20%,8.50%,22.50%,13.40%,8.90%,9.60%,18.30%,55.10%,0.00%,4.20%,35.30%,186,5972,14000US36061018600,36061018600,LI - At Risk of Gentrification,NY,121738,0,0.047,0,40.799106,-73.9497088,1
1292,"Census Tract 187, New York County, New York!!Estimate",467,687,34,"113,821","162,143","4,616",0,7.2,3.6,"1,220,200","3,468",952,"1,763","7,872","1,824","1,534",(X),"8,046",88.07854137,43.6,"Census Tract 187, New York County, New York","Census Tract 187, New York County, New York!!Percent",5.60%,0.00%,2.80%,4.10%,3.00%,2.60%,0.40%,7.00%,9.10%,16.90%,35.60%,10.10%,6.00%,2.40%,5.60%,95.90%,77.20%,0.00%,0.00%,69.00%,0.40%,27.10%,72.30%,5.20%,0.00%,0.80%,2.60%,74.70%,15.20%,44.60%,37.70%,2.40%,3.90%,79.40%,27.70%,19.20%,75.70%,10.20%,0.00%,9.90%,8.00%,187,5973,14000US36061018700,36061018700,MHI - Stable Exclusion,NY,218107,184467,0.084,0.071,40.7998766,-73.9747148,0
1293,"Census Tract 188, New York County, New York!!Estimate",355,878,36.7,"32,690","50,602","2,595",0,8.3,2.9,"380,600","1,633",-,"1,014","5,180","2,642","2,043",(X),"5,262",108.8095238,33.2,"Census Tract 188, New York County, New York","Census Tract 188, New York County, New York!!Percent",12.70%,0.00%,6.10%,2.70%,0.00%,18.80%,4.40%,7.70%,3.50%,12.00%,16.30%,23.60%,1.10%,3.90%,11.00%,81.80%,39.20%,0.00%,3.40%,95.00%,8.80%,36.50%,80.40%,4.40%,0.70%,6.10%,7.50%,100.00%,9.80%,38.40%,48.50%,14.10%,17.00%,31.70%,10.80%,13.00%,35.10%,25.80%,0.30%,6.00%,52.60%,188,5974,14000US36061018800,36061018800,LI - At Risk of Gentrification,NY,148532,0,0.057,0,40.7975948,-73.9372599,1
1294,"Census Tract 189, New York County, New York!!Estimate",744,"1,755",37,"28,327","76,218","5,447",0,1.2,3.7,"1,506,900","3,758",864,780,"12,224","4,878","3,957",(X),"12,939",62.89814931,41,"Census Tract 189, New York County, New York","Census Tract 189, New York County, New York!!Percent",14.20%,0.00%,0.00%,2.70%,0.50%,13.10%,3.60%,2.50%,2.40%,21.50%,42.20%,5.60%,3.90%,2.00%,18.70%,94.20%,54.10%,0.00%,0.00%,87.10%,3.80%,30.90%,78.90%,0.90%,0.50%,4.00%,3.00%,79.50%,17.30%,49.10%,46.40%,12.80%,14.30%,35.70%,13.40%,23.30%,37.70%,29.80%,0.30%,5.20%,47.30%,189,5975,14000US36061018900,36061018900,LI - At Risk of Gentrification,NY,265399,0,0.102,0,40.7973281,-73.9642508,1
1295,"Census Tract 190, New York County, New York!!Estimate",274,325,36.5,"60,509","100,036","1,686",2.4,9.3,3.7,"531,300","2,574","1,030",789,"3,260","1,002",854,(X),"3,260",85.22727273,41.6,"Census Tract 190, New York County, New York","Census Tract 190, New York County, New York!!Percent",2.70%,0.00%,3.10%,2.50%,4.00%,5.20%,2.50%,6.00%,9.40%,13.60%,37.20%,11.90%,1.80%,2.90%,14.20%,90.20%,60.40%,3.50%,0.90%,60.50%,5.50%,28.60%,77.00%,2.30%,0.90%,3.50%,2.50%,70.20%,10.80%,46.70%,46.00%,4.90%,4.80%,52.90%,16.30%,13.60%,23.50%,59.20%,1.00%,8.70%,11.80%,190,5976,14000US36061019000,36061019000,MHI - Advanced Gentrification,NY,103802,0,0.04,0,40.8019616,-73.9476194,1
1296,"Census Tract 191, New York County, New York!!Estimate",383,852,31.5,"79,833","134,682","4,947",0,2.2,3.5,"874,400","2,417",-,"1,668","9,189","3,044","2,816",(X),"9,481",95.20280008,48.2,"Census Tract 191, New York County, New York","Census Tract 191, New York County, New York!!Percent",5.60%,0.00%,2.40%,1.80%,0.20%,1.80%,0.00%,6.90%,15.60%,23.50%,28.50%,9.40%,6.50%,3.30%,8.30%,93.30%,81.50%,0.00%,1.40%,63.90%,3.50%,29.90%,70.70%,7.20%,0.00%,1.70%,2.30%,64.40%,19.10%,42.00%,33.40%,4.70%,3.20%,72.30%,27.50%,25.10%,69.40%,10.30%,0.30%,11.70%,14.40%,191,5977,14000US36061019100,36061019100,MHI - Stable Exclusion,NY,223476,175654,0.086,0.068,40.8015611,-73.9722959,0
1297,"Census Tract 192, New York County, New York!!Estimate",328,884,40.3,"16,278","37,893","1,399",0,1.6,3.9,-,-,-,419,"3,968","1,137",939,(X),"4,000",80.58690745,28.9,"Census Tract 192, New York County, New York","Census Tract 192, New York County, New York!!Percent",13.50%,0.90%,2.30%,4.70%,2.30%,13.70%,7.70%,1.20%,0.80%,11.20%,29.40%,13.30%,5.00%,7.50%,30.80%,86.50%,20.90%,0.00%,0.00%,99.30%,0.70%,26.50%,80.90%,1.20%,0.00%,4.40%,7.60%,100.00%,8.80%,63.60%,54.80%,18.60%,21.50%,13.10%,9.60%,10.30%,12.50%,41.10%,2.50%,6.30%,56.90%,192,5978,14000US36061019200,36061019200,LI - At Risk of Gentrification,NY,189854,175645,0.073,0.068,40.7987751,-73.9294062,1
1298,"Census Tract 193, New York County, New York!!Estimate",678,754,32.2,"35,732","76,793","4,259",4.2,4,3.5,"547,100","2,603",283,"1,351","9,107","3,577","3,075",(X),"9,360",84.0346048,35.7,"Census Tract 193, New York County, New York","Census Tract 193, New York County, New York!!Percent",12.40%,0.00%,3.30%,3.90%,0.90%,5.00%,4.20%,9.60%,10.80%,16.20%,24.80%,13.40%,6.80%,1.00%,19.50%,89.40%,62.10%,0.00%,0.00%,84.80%,6.40%,34.50%,82.30%,0.00%,0.00%,2.10%,0.70%,61.70%,14.80%,46.60%,46.70%,11.40%,7.40%,48.30%,24.60%,16.60%,48.80%,14.40%,0.30%,8.20%,39.80%,193,5979,14000US36061019300,36061019300,LI - Not Losing Low-Income Households,NY,175716,0,0.068,0,40.8005051,-73.9619564,0
1299,"Census Tract 194, New York County, New York!!Estimate",658,909,33.4,"21,735","33,368","2,781",21.6,5.4,3.8,"357,100","1,845",-,627,"6,475","2,222","1,665",(X),"6,729",77.63991552,34,"Census Tract 194, New York County, New York","Census Tract 194, New York County, New York!!Percent",8.00%,0.00%,0.70%,4.30%,0.20%,23.10%,10.20%,0.70%,6.70%,6.70%,24.80%,20.60%,2.00%,0.00%,26.00%,91.00%,30.40%,0.00%,1.60%,95.30%,1.10%,19.70%,83.20%,0.00%,0.00%,1.90%,5.90%,100.00%,11.70%,56.40%,60.20%,17.50%,23.70%,14.30%,6.20%,14.30%,14.80%,39.10%,1.70%,2.10%,53.30%,194,5980,14000US36061019400,36061019400,LI - At Risk of Gentrification,NY,175052,0,0.068,0,40.8004651,-73.935186,1
1300,"Census Tract 195, New York County, New York!!Estimate",261,920,35.9,"120,917","164,172","3,833",0,6.8,3.9,"1,007,200","2,987",598,"2,144","7,255","2,035","1,830",(X),"7,339",83.79664413,38.3,"Census Tract 195, New York County, New York","Census Tract 195, New York County, New York!!Percent",5.70%,0.90%,2.00%,0.90%,1.40%,7.90%,1.60%,7.70%,10.30%,26.60%,33.10%,3.50%,2.40%,1.50%,9.80%,96.50%,84.30%,0.00%,0.00%,69.70%,2.00%,36.20%,67.90%,0.50%,1.00%,2.80%,0.90%,62.60%,13.20%,43.30%,45.40%,3.30%,1.90%,76.50%,35.40%,18.30%,76.40%,3.80%,0.00%,12.70%,16.90%,195,5981,14000US36061019500,36061019500,MHI - Stable Exclusion,NY,218436,166301,0.084,0.064,40.804003,-73.9705048,0
1301,"Census Tract 196, New York County, New York!!Estimate",173,393,33.9,"20,694","47,394","1,722",0,3.1,3.3,-,-,-,575,"3,865","1,646","1,390",(X),"4,291",109.5214844,40.5,"Census Tract 196, New York County, New York","Census Tract 196, New York County, New York!!Percent",10.00%,0.00%,3.90%,2.80%,0.00%,19.50%,3.30%,6.80%,6.30%,13.60%,32.10%,6.70%,4.10%,1.00%,24.80%,88.90%,43.50%,0.00%,2.10%,98.70%,2.70%,32.50%,83.50%,2.10%,0.30%,3.40%,5.90%,100.00%,21.50%,60.40%,52.10%,20.40%,15.00%,18.90%,16.40%,23.40%,25.80%,37.80%,0.00%,6.50%,46.80%,196,5982,14000US36061019600,36061019600,LI - At Risk of Gentrification,NY,177186,0,0.068,0,40.8028054,-73.9385762,1
1302,"Census Tract 197.01, New York County, New York!!Estimate",106,23,37.7,"68,092","133,383",376,-,4,2.6,-,-,-,"3,500+",704,313,282,(X),749,89.14141414,35.8,"Census Tract 197.01, New York County, New York","Census Tract 197.01, New York County, New York!!Percent",9.70%,0.00%,3.10%,3.70%,2.30%,9.70%,4.50%,13.10%,8.20%,19.90%,21.00%,0.90%,11.60%,2.00%,18.30%,85.50%,73.70%,0.00%,7.70%,100.00%,18.00%,58.70%,85.30%,0.00%,0.00%,6.90%,3.90%,-,12.30%,47.00%,55.10%,0.00%,2.10%,72.90%,20.80%,15.50%,51.30%,5.30%,0.00%,32.20%,20.80%,197.01,5983,14000US36061019701,36061019701,MHI - Stable Exclusion,NY,235976,0,0.091,0,40.805311,-73.9593993,0
1303,"Census Tract 197.02, New York County, New York!!Estimate",66,105,31.2,"51,740","87,028","1,197",15.1,2.1,3.5,"648,200","2,750","1,195","1,228","2,189",732,666,(X),"2,228",103.4703196,36.2,"Census Tract 197.02, New York County, New York","Census Tract 197.02, New York County, New York!!Percent",7.50%,0.60%,0.70%,0.80%,2.10%,12.50%,3.80%,1.70%,13.20%,14.80%,18.10%,19.40%,5.80%,6.70%,12.00%,91.40%,65.20%,1.60%,1.10%,77.00%,7.00%,35.50%,70.80%,2.10%,0.00%,0.60%,0.60%,63.90%,12.30%,69.80%,54.80%,5.40%,12.80%,54.90%,29.50%,15.20%,35.30%,38.30%,1.10%,12.80%,24.40%,197.02,5984,14000US36061019702,36061019702,LI - Ongoing Displacement of Low-Income Households,NY,47396,0,0.018,0,40.802189,-73.9579879,0
1304,"Census Tract 198, New York County, New York!!Estimate",194,233,31.7,"75,945","97,106","1,304",4.5,0,3.9,"467,000","2,169","1,237","1,304","2,803",634,514,(X),"2,824",91.06901218,38.6,"Census Tract 198, New York County, New York","Census Tract 198, New York County, New York!!Percent",6.20%,0.00%,1.10%,2.50%,1.00%,11.00%,1.00%,5.90%,19.00%,9.70%,34.00%,2.90%,6.50%,5.30%,6.50%,89.90%,67.10%,0.00%,0.00%,64.20%,3.20%,37.80%,65.90%,10.10%,0.60%,1.90%,5.70%,66.70%,11.40%,54.10%,54.00%,3.10%,11.30%,48.70%,18.20%,15.30%,22.30%,58.50%,0.50%,9.10%,18.90%,198,5985,14000US36061019800,36061019800,MHI - Advanced Gentrification,NY,225452,0,0.087,0,40.8043025,-73.9423627,1
1305,"Census Tract 199, New York County, New York!!Estimate",269,735,28.1,"79,183","133,259","3,862",0,4.5,3.9,"908,200","2,372",343,"1,711","6,742","2,226","2,078",(X),"9,013",73.16042267,29.6,"Census Tract 199, New York County, New York","Census Tract 199, New York County, New York!!Percent",6.90%,0.00%,0.50%,1.90%,0.70%,4.00%,0.40%,12.40%,5.80%,11.40%,50.00%,8.30%,3.90%,0.70%,12.50%,96.20%,91.50%,0.00%,0.00%,72.90%,8.40%,43.60%,75.10%,2.70%,0.00%,1.70%,0.30%,63.60%,14.50%,55.60%,60.40%,2.00%,2.40%,79.90%,38.90%,16.90%,74.60%,6.90%,0.10%,13.10%,14.20%,199,5986,14000US36061019900,36061019900,MHI - Ongoing Exclusion,NY,226590,192056,0.087,0.074,40.806543,-73.9687765,0
1306,"Census Tract 200, New York County, New York!!Estimate",262,292,33.6,"65,956","96,194","1,557",2.7,8.6,3.7,"1,050,300","4,000+",869,"1,364","3,424",748,653,(X),"3,478",80.67532468,42,"Census Tract 200, New York County, New York","Census Tract 200, New York County, New York!!Percent",2.70%,0.00%,0.00%,4.00%,2.20%,5.10%,1.30%,2.70%,6.10%,7.30%,39.40%,16.60%,10.10%,5.20%,8.10%,93.60%,71.70%,0.00%,0.00%,69.90%,1.60%,29.80%,71.20%,6.90%,2.30%,4.80%,3.60%,75.70%,8.50%,42.60%,47.70%,3.70%,6.00%,56.50%,32.20%,12.30%,27.20%,57.20%,0.00%,2.60%,15.60%,200,5987,14000US36061020000,36061020000,MHI - Stable Exclusion,NY,129287,0,0.05,0,40.8057859,-73.9452336,0
1307,"Census Tract 201.01, New York County, New York!!Estimate",40,62,22.3,"84,327","161,972",289,0,0,5,"1,146,600","4,000+",813,"1,869",636,341,280,(X),"1,813",83.87423935,21.7,"Census Tract 201.01, New York County, New York","Census Tract 201.01, New York County, New York!!Percent",5.00%,0.00%,0.00%,1.00%,1.70%,4.00%,0.00%,1.70%,16.90%,12.60%,50.10%,5.90%,4.50%,1.70%,12.40%,95.50%,93.90%,0.00%,0.00%,78.20%,7.60%,36.70%,81.80%,1.80%,0.00%,0.00%,1.80%,45.00%,4.20%,80.20%,84.60%,0.00%,0.40%,92.10%,48.70%,4.70%,60.10%,16.80%,2.40%,15.70%,11.40%,201.01,5988,14000US36061020101,36061020101,MHI - Ongoing Exclusion,NY,55127,0,0.021,0,40.8064355,-73.9602048,0
